tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
16,22.15,354.4,Month-to-month,Bank transfer (automatic),1
16,27.91,446.56,Month-to-month,Credit card (automatic),0
16,85.0,1360.0,Month-to-month,Electronic check,1
59,60.35,3560.65,Two year,Bank transfer (automatic),0
19,89.66,1703.54,One year,Mailed check,0
17,58.96,1002.32,Month-to-month,Credit card (automatic),1
14,113.22,1585.08,Month-to-month,Credit card (automatic),0
17,60.06,1021.02,One year,Credit card (automatic),0
39,75.44,2942.16,Two year,Electronic check,1
16,54.72,875.52,One year,Credit card (automatic),0
26,118.26,3074.76,Two year,Electronic check,0
9,18.67,168.03,Month-to-month,Credit card (automatic),0
24,101.84,2444.16,Month-to-month,Electronic check,1
17,76.21,1295.57,Month-to-month,Bank transfer (automatic),1
4,32.12,128.48,Month-to-month,Mailed check,1
24,48.63,1167.12,One year,Electronic check,0
13,91.81,1193.53,One year,Electronic check,0
22,89.69,1973.18,Month-to-month,Credit card (automatic),0
1,92.54,92.54,Month-to-month,Bank transfer (automatic),1
24,52.11,1250.64,Month-to-month,Electronic check,0
3,106.72,320.16,Month-to-month,Credit card (automatic),1
12,82.66,991.92,One year,Bank transfer (automatic),0
10,73.07,730.7,Month-to-month,Mailed check,1
1,86.71,86.71,Month-to-month,Electronic check,0
60,69.48,4168.8,Two year,Bank transfer (automatic),0
4,52.29,209.16,Month-to-month,Mailed check,1
16,26.68,426.88,One year,Mailed check,0
14,67.05,938.7,One year,Electronic check,1
17,80.83,1374.11,Month-to-month,Bank transfer (automatic),0
24,61.87,1484.88,Month-to-month,Electronic check,1
18,61.2,1101.6,One year,Electronic check,1
0,96.51,0.0,Month-to-month,Bank transfer (automatic),1
14,81.56,1141.84,Month-to-month,Credit card (automatic),1
67,56.13,3760.71,Two year,Electronic check,0
27,42.79,1155.33,Two year,Electronic check,0
9,19.4,174.6,Month-to-month,Credit card (automatic),0
0,51.85,0.0,Month-to-month,Mailed check,0
24,44.38,1065.12,Month-to-month,Mailed check,1
23,86.16,1981.68,One year,Electronic check,1
40,35.37,1414.8,Two year,Mailed check,0
12,65.43,785.16,One year,Bank transfer (automatic),0
21,104.91,2203.11,Month-to-month,Bank transfer (automatic),0
65,57.43,3732.95,Two year,Electronic check,0
10,67.44,674.4,Month-to-month,Bank transfer (automatic),0
14,75.19,1052.66,Month-to-month,Electronic check,1
9,52.02,468.18,Month-to-month,Credit card (automatic),1
11,54.25,596.75,Month-to-month,Electronic check,1
41,100.81,4133.21,Two year,Credit card (automatic),0
25,114.3,2857.5,Two year,Credit card (automatic),0
12,85.01,1020.12,Month-to-month,Electronic check,1
19,107.02,2033.38,Month-to-month,Credit card (automatic),0
13,116.99,1520.87,Month-to-month,Bank transfer (automatic),0
6,84.55,507.3,Month-to-month,Mailed check,1
14,49.52,693.28,One year,Electronic check,0
24,32.81,787.44,Month-to-month,Electronic check,0
59,72.36,4269.24,Two year,Electronic check,0
4,92.16,368.64,Month-to-month,Credit card (automatic),0
50,48.94,2447.0,Two year,Mailed check,0
71,45.93,3261.03,Two year,Bank transfer (automatic),0
24,118.57,2845.68,Month-to-month,Electronic check,1
21,41.68,875.28,One year,Bank transfer (automatic),0
15,31.68,475.2,Month-to-month,Bank transfer (automatic),0
5,104.92,524.6,Month-to-month,Bank transfer (automatic),1
1,59.68,59.68,Month-to-month,Electronic check,0
38,93.72,3561.36,Two year,Credit card (automatic),0
19,106.45,2022.55,One year,Electronic check,1
7,61.61,431.27,Month-to-month,Mailed check,0
23,49.92,1148.16,One year,Credit card (automatic),0
20,83.42,1668.4,One year,Bank transfer (automatic),0
14,102.36,1433.04,Month-to-month,Electronic check,1
49,118.35,5799.15,Two year,Mailed check,1
1,37.36,37.36,Month-to-month,Bank transfer (automatic),1
42,65.06,2732.52,Two year,Bank transfer (automatic),0
20,110.17,2203.4,One year,Electronic check,1
20,29.54,590.8,One year,Electronic check,0
32,58.09,1858.88,Two year,Bank transfer (automatic),0
22,109.37,2406.14,Month-to-month,Mailed check,0
20,110.53,2210.6,Month-to-month,Electronic check,1
13,90.04,1170.52,One year,Electronic check,0
23,98.69,2269.87,Month-to-month,Bank transfer (automatic),1
48,22.48,1079.04,Two year,Mailed check,0
4,34.54,138.16,Month-to-month,Credit card (automatic),1
16,49.57,793.12,One year,Electronic check,0
3,109.65,328.95,Month-to-month,Bank transfer (automatic),0
0,64.78,0.0,Month-to-month,Bank transfer (automatic),0
15,42.26,633.9,Month-to-month,Electronic check,1
2,79.32,158.64,Month-to-month,Mailed check,1
64,74.87,4791.68,Two year,Electronic check,0
20,53.6,1072.0,Month-to-month,Electronic check,1
19,48.44,920.36,Month-to-month,Bank transfer (automatic),0
5,34.46,172.3,Month-to-month,Mailed check,1
21,98.31,2064.51,One year,Bank transfer (automatic),1
1,27.5,27.5,Month-to-month,Bank transfer (automatic),1
2,95.36,190.72,Month-to-month,Mailed check,0
3,88.85,266.55,Month-to-month,Mailed check,1
22,39.32,865.04,Month-to-month,Mailed check,1
20,118.69,2373.8,One year,Credit card (automatic),0
23,47.29,1087.67,One year,Credit card (automatic),0
19,54.09,1027.71,Month-to-month,Mailed check,1
22,68.77,1512.94,One year,Mailed check,0
42,117.88,4950.96,Two year,Electronic check,1
3,93.22,279.66,Month-to-month,Bank transfer (automatic),1
12,52.05,624.6,One year,Mailed check,0
15,88.38,1325.7,One year,Electronic check,1
17,51.04,867.68,Month-to-month,Electronic check,1
23,76.03,1748.69,One year,Electronic check,0
45,112.07,5043.15,Two year,Electronic check,0
4,67.11,268.44,Month-to-month,Electronic check,1
45,65.17,2932.65,Two year,Mailed check,0
57,48.53,2766.21,Two year,Electronic check,0
6,76.89,461.34,Month-to-month,Mailed check,1
28,116.9,3273.2,Two year,Credit card (automatic),0
20,72.5,1450.0,Month-to-month,Credit card (automatic),1
13,106.19,1380.47,One year,Electronic check,0
12,45.69,548.28,One year,Electronic check,1
43,40.05,1722.15,Two year,Mailed check,0
24,38.61,926.64,Month-to-month,Credit card (automatic),1
16,33.72,539.52,Month-to-month,Credit card (automatic),1
9,97.1,873.9,Month-to-month,Credit card (automatic),1
57,87.03,4960.71,Two year,Credit card (automatic),0
23,106.21,2442.83,One year,Mailed check,1
19,106.93,2031.67,Month-to-month,Electronic check,1
66,94.05,6207.3,Two year,Electronic check,1
15,50.73,760.95,One year,Bank transfer (automatic),1
14,86.45,1210.3,Month-to-month,Electronic check,1
19,75.08,1426.52,Month-to-month,Electronic check,1
8,32.44,259.52,Month-to-month,Mailed check,0
2,49.76,99.52,Month-to-month,Electronic check,0
0,66.02,0.0,Month-to-month,Electronic check,1
13,57.98,753.74,Month-to-month,Electronic check,1
68,89.34,6075.12,Two year,Bank transfer (automatic),0
22,95.36,2097.92,Month-to-month,Credit card (automatic),0
24,65.5,1572.0,Month-to-month,Credit card (automatic),1
53,27.92,1479.76,Two year,Credit card (automatic),0
19,41.63,790.97,One year,Bank transfer (automatic),1
47,57.99,2725.53,Two year,Bank transfer (automatic),0
17,64.23,1091.91,One year,Credit card (automatic),1
14,104.27,1459.78,Month-to-month,Mailed check,1
16,28.5,456.0,Month-to-month,Bank transfer (automatic),0
65,25.23,1639.95,Two year,Electronic check,0
7,81.33,569.31,Month-to-month,Bank transfer (automatic),1
45,39.24,1765.8,Two year,Mailed check,0
18,98.31,1769.58,Month-to-month,Credit card (automatic),1
2,93.42,186.84,Month-to-month,Bank transfer (automatic),0
62,65.22,4043.64,Two year,Electronic check,0
49,25.1,1229.9,Two year,Electronic check,1
48,51.4,2467.2,Two year,Bank transfer (automatic),0
4,108.5,434.0,Month-to-month,Electronic check,1
14,85.41,1195.74,One year,Electronic check,1
14,37.96,531.44,Month-to-month,Bank transfer (automatic),0
21,49.06,1030.26,Month-to-month,Bank transfer (automatic),0
11,119.01,1309.11,Month-to-month,Credit card (automatic),1
14,104.96,1469.44,One year,Mailed check,1
24,89.74,2153.76,Two year,Credit card (automatic),0
0,41.99,0.0,Month-to-month,Credit card (automatic),0
12,59.42,713.04,Month-to-month,Electronic check,1
4,37.2,148.8,Month-to-month,Electronic check,1
33,47.42,1564.86,Two year,Credit card (automatic),0
20,19.6,392.0,Month-to-month,Electronic check,1
4,26.64,106.56,Month-to-month,Mailed check,1
22,79.65,1752.3,Month-to-month,Mailed check,1
17,101.65,1728.05,Month-to-month,Mailed check,1
0,76.95,0.0,Month-to-month,Mailed check,0
13,112.51,1462.63,Month-to-month,Mailed check,1
15,89.9,1348.5,Month-to-month,Electronic check,1
4,92.48,369.92,Month-to-month,Bank transfer (automatic),1
41,65.42,2682.22,Two year,Bank transfer (automatic),0
54,82.33,4445.82,Two year,Electronic check,0
20,99.41,1988.2,One year,Bank transfer (automatic),1
24,19.1,458.4,Month-to-month,Electronic check,1
45,60.94,2742.3,Two year,Bank transfer (automatic),0
26,88.9,2311.4,Two year,Electronic check,0
8,24.26,194.08,Month-to-month,Credit card (automatic),1
9,100.51,904.59,Month-to-month,Electronic check,1
16,25.84,413.44,Month-to-month,Electronic check,0
8,105.5,844.0,Month-to-month,Bank transfer (automatic),1
18,93.37,1680.66,Month-to-month,Electronic check,1
22,42.09,925.98,Month-to-month,Electronic check,1
2,116.67,233.34,Month-to-month,Electronic check,1
72,119.35,8593.2,Two year,Credit card (automatic),0
20,35.06,701.2,Month-to-month,Mailed check,1
40,95.06,3802.4,Two year,Electronic check,1
9,66.58,599.22,Month-to-month,Mailed check,0
67,89.97,6027.99,Two year,Electronic check,0
0,47.46,0.0,Month-to-month,Credit card (automatic),0
16,87.65,1402.4,Month-to-month,Electronic check,1
51,80.27,4093.77,Two year,Bank transfer (automatic),0
3,44.05,132.15,Month-to-month,Electronic check,1
7,92.9,650.3,Month-to-month,Bank transfer (automatic),1
22,119.31,2624.82,Month-to-month,Electronic check,1
2,19.22,38.44,Month-to-month,Electronic check,1
7,91.98,643.86,Month-to-month,Mailed check,1
1,113.73,113.73,Month-to-month,Bank transfer (automatic),1
64,30.42,1946.88,Two year,Credit card (automatic),0
12,84.95,1019.4,Month-to-month,Bank transfer (automatic),0
13,88.96,1156.48,One year,Credit card (automatic),1
20,64.25,1285.0,Month-to-month,Credit card (automatic),0
22,96.53,2123.66,One year,Bank transfer (automatic),1
24,24.36,584.64,Month-to-month,Electronic check,1
40,36.15,1446.0,Two year,Electronic check,1
49,36.2,1773.8,Two year,Electronic check,0
6,80.62,483.72,Month-to-month,Bank transfer (automatic),1
1,25.44,25.44,Month-to-month,Electronic check,1
15,33.18,497.7,Month-to-month,Mailed check,0
41,33.46,1371.86,Two year,Bank transfer (automatic),0
22,113.87,2505.14,Month-to-month,Electronic check,1
24,100.85,2420.4,Month-to-month,Credit card (automatic),1
22,101.43,2231.46,Month-to-month,Mailed check,1
17,52.01,884.17,One year,Credit card (automatic),0
20,27.25,545.0,Month-to-month,Credit card (automatic),0
53,95.57,5065.21,Two year,Electronic check,0
12,85.39,1024.68,Month-to-month,Bank transfer (automatic),1
22,54.64,1202.08,Month-to-month,Electronic check,1
14,21.64,302.96,One year,Bank transfer (automatic),1
48,24.43,1172.64,Two year,Electronic check,0
14,116.59,1632.26,Month-to-month,Mailed check,1
23,22.37,514.51,Month-to-month,Electronic check,1
53,113.89,6036.17,Two year,Bank transfer (automatic),0
7,112.33,786.31,Month-to-month,Bank transfer (automatic),1
15,110.53,1657.95,Month-to-month,Bank transfer (automatic),1
0,35.57,0.0,Month-to-month,Bank transfer (automatic),1
14,80.35,1124.9,Month-to-month,Credit card (automatic),0
3,68.71,206.13,Month-to-month,Credit card (automatic),0
13,52.41,681.33,Month-to-month,Credit card (automatic),0
13,117.54,1528.02,One year,Mailed check,0
6,95.95,575.7,Month-to-month,Credit card (automatic),1
4,95.27,381.08,Month-to-month,Electronic check,1
7,112.42,786.94,Month-to-month,Electronic check,1
19,56.37,1071.03,Month-to-month,Credit card (automatic),1
24,36.3,871.2,Two year,Electronic check,1
18,88.74,1597.32,One year,Credit card (automatic),0
4,83.26,333.04,Month-to-month,Electronic check,1
19,88.55,1682.45,Month-to-month,Credit card (automatic),0
13,81.97,1065.61,One year,Bank transfer (automatic),0
7,37.57,262.99,Month-to-month,Electronic check,0
72,118.65,8542.8,Two year,Bank transfer (automatic),0
6,46.2,277.2,Month-to-month,Bank transfer (automatic),1
54,68.75,3712.5,Two year,Bank transfer (automatic),0
47,47.08,2212.76,Two year,Electronic check,0
24,64.22,1541.28,Month-to-month,Credit card (automatic),1
5,98.12,490.6,Month-to-month,Mailed check,1
23,63.37,1457.51,Month-to-month,Credit card (automatic),0
10,41.47,414.7,Month-to-month,Bank transfer (automatic),1
13,106.73,1387.49,Month-to-month,Electronic check,1
15,23.54,353.1,Month-to-month,Mailed check,1
5,57.51,287.55,Month-to-month,Bank transfer (automatic),1
16,38.63,618.08,One year,Bank transfer (automatic),1
14,29.33,410.62,One year,Electronic check,1
7,108.41,758.87,Month-to-month,Bank transfer (automatic),1
21,110.37,2317.77,One year,Bank transfer (automatic),0
18,105.41,1897.38,One year,Electronic check,1
53,46.48,2463.44,Two year,Bank transfer (automatic),0
17,62.29,1058.93,One year,Electronic check,1
60,109.62,6577.2,Two year,Credit card (automatic),0
23,96.4,2217.2,Month-to-month,Credit card (automatic),1
22,101.77,2238.94,Month-to-month,Mailed check,1
0,88.7,0.0,Month-to-month,Bank transfer (automatic),1
7,84.06,588.42,Month-to-month,Mailed check,1
22,64.85,1426.7,Month-to-month,Electronic check,1
19,96.73,1837.87,One year,Credit card (automatic),0
11,81.93,901.23,Month-to-month,Credit card (automatic),0
12,109.13,1309.56,Month-to-month,Bank transfer (automatic),1
8,89.2,713.6,Month-to-month,Mailed check,1
22,26.26,577.72,One year,Electronic check,0
22,55.13,1212.86,One year,Electronic check,1
1,55.29,55.29,Month-to-month,Mailed check,1
23,96.9,2228.7,One year,Electronic check,1
20,66.81,1336.2,Month-to-month,Mailed check,0
15,94.82,1422.3,One year,Credit card (automatic),0
16,87.38,1398.08,Month-to-month,Credit card (automatic),1
15,69.15,1037.25,Month-to-month,Electronic check,0
17,109.74,1865.58,Month-to-month,Mailed check,1
22,100.5,2211.0,Month-to-month,Bank transfer (automatic),0
14,26.91,376.74,Month-to-month,Credit card (automatic),1
2,29.16,58.32,Month-to-month,Credit card (automatic),1
15,71.11,1066.65,One year,Mailed check,0
17,113.04,1921.68,Month-to-month,Credit card (automatic),1
0,47.73,0.0,Month-to-month,Bank transfer (automatic),1
57,83.76,4774.32,Two year,Electronic check,0
10,67.59,675.9,Month-to-month,Bank transfer (automatic),0
14,49.02,686.28,Month-to-month,Mailed check,1
16,41.13,658.08,One year,Electronic check,1
4,54.02,216.08,Month-to-month,Credit card (automatic),1
22,72.6,1597.2,Month-to-month,Credit card (automatic),1
21,99.03,2079.63,Month-to-month,Bank transfer (automatic),1
18,30.9,556.2,Month-to-month,Credit card (automatic),1
1,85.89,85.89,Month-to-month,Bank transfer (automatic),0
5,72.43,362.15,Month-to-month,Mailed check,1
24,32.83,787.92,Month-to-month,Credit card (automatic),1
23,73.71,1695.33,Month-to-month,Electronic check,1
16,116.9,1870.4,One year,Electronic check,0
60,92.31,5538.6,Two year,Bank transfer (automatic),0
15,109.82,1647.3,Month-to-month,Electronic check,1
18,80.99,1457.82,One year,Electronic check,1
19,83.41,1584.79,Month-to-month,Electronic check,1
8,37.96,303.68,Month-to-month,Credit card (automatic),1
29,117.54,3408.66,Two year,Bank transfer (automatic),0
16,114.23,1827.68,Month-to-month,Bank transfer (automatic),0
13,55.7,724.1,Month-to-month,Electronic check,1
14,107.18,1500.52,Month-to-month,Mailed check,1
18,99.98,1799.64,One year,Mailed check,1
51,92.32,4708.32,Two year,Credit card (automatic),0
33,39.19,1293.27,Two year,Bank transfer (automatic),0
28,113.18,3169.04,Two year,Credit card (automatic),0
20,111.27,2225.4,Month-to-month,Electronic check,1
24,111.32,2671.68,One year,Bank transfer (automatic),1
55,22.31,1227.05,Two year,Electronic check,0
59,93.47,5514.73,Two year,Electronic check,1
43,115.51,4966.93,Two year,Electronic check,0
9,60.55,544.95,Month-to-month,Bank transfer (automatic),1
13,96.0,1248.0,One year,Electronic check,1
47,77.27,3631.69,Two year,Bank transfer (automatic),0
54,117.37,6337.98,Two year,Bank transfer (automatic),0
0,104.22,0.0,Month-to-month,Bank transfer (automatic),1
22,31.82,700.04,Month-to-month,Electronic check,1
11,22.97,252.67,Month-to-month,Mailed check,1
15,96.18,1442.7,One year,Electronic check,1
17,50.91,865.47,Month-to-month,Bank transfer (automatic),1
41,87.92,3604.72,Two year,Credit card (automatic),0
4,19.32,77.28,Month-to-month,Bank transfer (automatic),1
10,111.93,1119.3,Month-to-month,Mailed check,1
6,99.1,594.6,Month-to-month,Mailed check,1
20,90.68,1813.6,One year,Credit card (automatic),0
28,29.89,836.92,Two year,Mailed check,1
22,54.98,1209.56,Month-to-month,Electronic check,0
72,116.95,8420.4,Two year,Bank transfer (automatic),0
3,40.68,122.04,Month-to-month,Bank transfer (automatic),0
4,39.4,157.6,Month-to-month,Electronic check,0
3,25.93,77.79,Month-to-month,Bank transfer (automatic),0
13,21.34,277.42,One year,Electronic check,0
16,22.41,358.56,One year,Mailed check,1
3,111.85,335.55,Month-to-month,Electronic check,1
46,20.98,965.08,Two year,Electronic check,1
21,53.48,1123.08,One year,Electronic check,1
7,69.5,486.5,Month-to-month,Bank transfer (automatic),1
57,40.13,2287.41,Two year,Bank transfer (automatic),0
17,18.44,313.48,Month-to-month,Credit card (automatic),0
69,66.42,4582.98,Two year,Credit card (automatic),0
3,36.45,109.35,Month-to-month,Bank transfer (automatic),1
7,59.57,416.99,Month-to-month,Electronic check,1
16,31.86,509.76,Month-to-month,Mailed check,0
12,26.39,316.68,One year,Bank transfer (automatic),0
23,49.82,1145.86,Month-to-month,Mailed check,0
9,118.47,1066.23,Month-to-month,Bank transfer (automatic),1
54,113.79,6144.66,Two year,Credit card (automatic),0
21,28.73,603.33,Month-to-month,Bank transfer (automatic),1
14,58.27,815.78,One year,Electronic check,0
34,24.6,836.4,Two year,Bank transfer (automatic),0
12,30.52,366.24,Month-to-month,Bank transfer (automatic),0
23,96.13,2210.99,One year,Electronic check,0
18,54.32,977.76,One year,Credit card (automatic),0
56,46.45,2601.2,Two year,Credit card (automatic),0
15,41.54,623.1,Month-to-month,Electronic check,0
2,68.81,137.62,Month-to-month,Bank transfer (automatic),1
10,33.58,335.8,Month-to-month,Bank transfer (automatic),0
24,71.03,1704.72,Month-to-month,Electronic check,1
15,68.01,1020.15,Month-to-month,Electronic check,1
17,19.8,336.6,Month-to-month,Credit card (automatic),0
31,57.13,1771.03,Two year,Credit card (automatic),0
1,36.04,36.04,Month-to-month,Mailed check,1
14,68.13,953.82,One year,Credit card (automatic),1
13,76.02,988.26,One year,Mailed check,0
19,66.54,1264.26,One year,Mailed check,0
15,78.29,1174.35,Month-to-month,Mailed check,1
16,50.69,811.04,One year,Bank transfer (automatic),1
11,100.57,1106.27,Month-to-month,Credit card (automatic),1
18,27.93,502.74,One year,Bank transfer (automatic),0
21,42.91,901.11,Month-to-month,Mailed check,1
22,24.68,542.96,Month-to-month,Electronic check,1
10,21.81,218.1,Month-to-month,Electronic check,1
13,45.2,587.6,Month-to-month,Mailed check,0
18,76.18,1371.24,One year,Credit card (automatic),0
22,86.86,1910.92,Month-to-month,Mailed check,1
10,35.0,350.0,Month-to-month,Bank transfer (automatic),1
64,104.43,6683.52,Two year,Electronic check,0
42,45.05,1892.1,Two year,Mailed check,0
21,93.77,1969.17,One year,Credit card (automatic),1
45,45.88,2064.6,Two year,Electronic check,0
11,99.16,1090.76,Month-to-month,Mailed check,1
13,85.67,1113.71,Month-to-month,Credit card (automatic),1
16,64.23,1027.68,Month-to-month,Electronic check,1
22,70.65,1554.3,Month-to-month,Electronic check,1
23,113.69,2614.87,Month-to-month,Bank transfer (automatic),1
24,110.5,2652.0,One year,Credit card (automatic),0
15,55.16,827.4,One year,Electronic check,1
9,104.1,936.9,Month-to-month,Bank transfer (automatic),1
64,38.76,2480.64,Two year,Credit card (automatic),0
40,88.06,3522.4,Two year,Bank transfer (automatic),0
0,43.05,0.0,Month-to-month,Electronic check,1
13,61.05,793.65,Month-to-month,Bank transfer (automatic),0
0,44.36,0.0,Month-to-month,Electronic check,1
12,116.31,1395.72,One year,Electronic check,1
2,50.02,100.04,Month-to-month,Credit card (automatic),1
11,86.51,951.61,Month-to-month,Credit card (automatic),0
4,42.08,168.32,Month-to-month,Credit card (automatic),0
21,102.56,2153.76,Month-to-month,Electronic check,0
29,42.28,1226.12,Two year,Electronic check,1
61,93.2,5685.2,Two year,Electronic check,0
15,32.72,490.8,One year,Credit card (automatic),1
40,106.02,4240.8,Two year,Mailed check,1
3,50.28,150.84,Month-to-month,Bank transfer (automatic),1
24,113.57,2725.68,One year,Credit card (automatic),0
12,83.83,1005.96,One year,Credit card (automatic),0
1,88.45,88.45,Month-to-month,Bank transfer (automatic),0
9,83.17,748.53,Month-to-month,Bank transfer (automatic),0
58,106.43,6172.94,Two year,Bank transfer (automatic),0
12,112.61,1351.32,Month-to-month,Credit card (automatic),0
24,42.02,1008.48,Month-to-month,Credit card (automatic),1
64,50.35,3222.4,Two year,Credit card (automatic),0
16,106.38,1702.08,One year,Credit card (automatic),0
50,112.5,5625.0,Two year,Mailed check,0
3,102.09,306.27,Month-to-month,Credit card (automatic),1
19,92.38,1755.22,Month-to-month,Mailed check,1
24,23.31,559.44,Month-to-month,Bank transfer (automatic),0
14,18.31,256.34,One year,Credit card (automatic),1
3,34.1,102.3,Month-to-month,Bank transfer (automatic),1
72,31.27,2251.44,Two year,Credit card (automatic),0
14,66.79,935.06,Month-to-month,Credit card (automatic),0
10,99.55,995.5,Month-to-month,Bank transfer (automatic),1
12,114.37,1372.44,Month-to-month,Electronic check,1
17,84.0,1428.0,Month-to-month,Credit card (automatic),0
36,44.7,1609.2,Two year,Credit card (automatic),0
19,44.54,846.26,Month-to-month,Bank transfer (automatic),1
3,19.44,58.32,Month-to-month,Credit card (automatic),1
22,68.4,1504.8,One year,Credit card (automatic),0
8,47.37,378.96,Month-to-month,Credit card (automatic),1
19,39.99,759.81,Month-to-month,Credit card (automatic),0
14,59.67,835.38,One year,Electronic check,1
19,64.0,1216.0,Month-to-month,Electronic check,1
13,19.05,247.65,One year,Bank transfer (automatic),1
21,39.65,832.65,Month-to-month,Bank transfer (automatic),1
2,27.72,55.44,Month-to-month,Bank transfer (automatic),1
11,119.67,1316.37,Month-to-month,Electronic check,1
71,100.61,7143.31,Two year,Bank transfer (automatic),1
12,86.47,1037.64,Month-to-month,Mailed check,1
35,44.55,1559.25,Two year,Electronic check,0
32,27.14,868.48,Two year,Credit card (automatic),0
10,22.5,225.0,Month-to-month,Electronic check,1
71,54.78,3889.38,Two year,Credit card (automatic),0
72,112.53,8102.16,Two year,Electronic check,0
23,119.45,2747.35,Month-to-month,Electronic check,1
21,82.94,1741.74,Month-to-month,Credit card (automatic),1
5,21.66,108.3,Month-to-month,Electronic check,1
19,22.16,421.04,One year,Mailed check,0
19,29.47,559.93,One year,Mailed check,0
6,106.55,639.3,Month-to-month,Electronic check,1
8,75.45,603.6,Month-to-month,Mailed check,1
0,71.65,0.0,Month-to-month,Credit card (automatic),1
24,68.81,1651.44,Month-to-month,Electronic check,1
21,30.44,639.24,Month-to-month,Electronic check,1
44,33.69,1482.36,Two year,Electronic check,1
53,82.09,4350.77,Two year,Bank transfer (automatic),0
12,84.93,1019.16,One year,Electronic check,0
23,110.5,2541.5,Month-to-month,Bank transfer (automatic),0
20,46.86,937.2,Month-to-month,Credit card (automatic),0
21,56.9,1194.9,One year,Mailed check,0
12,27.1,325.2,Month-to-month,Credit card (automatic),0
9,84.01,756.09,Month-to-month,Bank transfer (automatic),0
13,93.06,1209.78,Month-to-month,Electronic check,0
46,85.88,3950.48,Two year,Bank transfer (automatic),0
12,66.6,799.2,Month-to-month,Mailed check,1
11,80.61,886.71,Month-to-month,Bank transfer (automatic),1
10,117.27,1172.7,Month-to-month,Electronic check,1
19,71.78,1363.82,One year,Bank transfer (automatic),0
2,110.54,221.08,Month-to-month,Mailed check,1
9,103.84,934.56,Month-to-month,Electronic check,1
2,111.56,223.12,Month-to-month,Electronic check,1
14,85.41,1195.74,Month-to-month,Mailed check,1
2,96.4,192.8,Month-to-month,Electronic check,1
24,36.59,878.16,One year,Mailed check,0
9,50.02,450.18,Month-to-month,Credit card (automatic),0
24,45.04,1080.96,One year,Mailed check,0
35,25.98,909.3,Two year,Electronic check,0
13,72.51,942.63,Month-to-month,Bank transfer (automatic),1
15,64.94,974.1,Month-to-month,Electronic check,1
23,67.65,1555.95,One year,Bank transfer (automatic),0
67,116.24,7788.08,Two year,Mailed check,0
32,19.42,621.44,Two year,Electronic check,1
0,39.34,0.0,Month-to-month,Credit card (automatic),0
22,105.54,2321.88,One year,Mailed check,0
4,66.35,265.4,Month-to-month,Bank transfer (automatic),1
22,63.42,1395.24,Month-to-month,Electronic check,1
7,38.54,269.78,Month-to-month,Mailed check,1
24,28.47,683.28,Two year,Electronic check,0
15,93.18,1397.7,Month-to-month,Mailed check,1
19,58.77,1116.63,One year,Electronic check,0
19,41.65,791.35,One year,Credit card (automatic),1
17,24.48,416.16,Month-to-month,Bank transfer (automatic),0
15,81.52,1222.8,Month-to-month,Mailed check,1
5,47.38,236.9,Month-to-month,Mailed check,1
7,77.94,545.58,Month-to-month,Electronic check,1
69,85.01,5865.69,Two year,Credit card (automatic),0
13,102.97,1338.61,Month-to-month,Bank transfer (automatic),1
24,117.04,2808.96,One year,Credit card (automatic),1
2,86.04,172.08,Month-to-month,Bank transfer (automatic),1
3,98.94,296.82,Month-to-month,Bank transfer (automatic),0
17,22.8,387.6,Month-to-month,Electronic check,1
34,35.82,1217.88,Two year,Mailed check,0
10,61.92,619.2,Month-to-month,Credit card (automatic),0
8,119.35,954.8,Month-to-month,Electronic check,1
20,45.28,905.6,One year,Bank transfer (automatic),1
22,28.62,629.64,One year,Mailed check,1
72,29.31,2110.32,Two year,Credit card (automatic),0
13,102.01,1326.13,One year,Credit card (automatic),1
6,110.92,665.52,Month-to-month,Bank transfer (automatic),1
16,68.84,1101.44,Month-to-month,Mailed check,0
4,30.54,122.16,Month-to-month,Mailed check,1
24,43.02,1032.48,Two year,Bank transfer (automatic),0
2,45.13,90.26,Month-to-month,Mailed check,0
7,33.46,234.22,Month-to-month,Bank transfer (automatic),0
13,60.17,782.21,Month-to-month,Electronic check,1
21,54.9,1152.9,Month-to-month,Credit card (automatic),1
16,114.25,1828.0,Month-to-month,Electronic check,1
5,62.28,311.4,Month-to-month,Credit card (automatic),1
4,110.06,440.24,Month-to-month,Credit card (automatic),1
22,107.33,2361.26,One year,Bank transfer (automatic),0
22,74.47,1638.34,Month-to-month,Credit card (automatic),1
12,102.35,1228.2,One year,Credit card (automatic),0
18,63.51,1143.18,One year,Electronic check,1
20,63.1,1262.0,Month-to-month,Credit card (automatic),1
36,107.86,3882.96,Two year,Bank transfer (automatic),1
23,93.49,2150.27,Month-to-month,Mailed check,1
29,70.19,2035.51,Two year,Electronic check,0
0,20.84,0.0,Month-to-month,Bank transfer (automatic),0
24,49.0,1176.0,One year,Electronic check,1
11,44.5,489.5,Month-to-month,Bank transfer (automatic),1
3,63.77,191.31,Month-to-month,Bank transfer (automatic),1
7,100.15,701.05,Month-to-month,Electronic check,0
22,85.88,1889.36,One year,Credit card (automatic),0
21,98.05,2059.05,Month-to-month,Electronic check,1
20,93.23,1864.6,One year,Bank transfer (automatic),1
24,54.85,1316.4,Month-to-month,Electronic check,1
13,27.41,356.33,One year,Credit card (automatic),0
2,55.67,111.34,Month-to-month,Electronic check,1
18,106.95,1925.1,One year,Mailed check,0
